file	sampid	group
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833029_anac055_eth_rep2_peaks.narrowPeak	51	anac055_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833030_anac055_eth_rep3_peaks.narrowPeak	52	anac055_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833031_edf2_air_rep1_peaks.narrowPeak	53	edf2_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833032_edf2_air_rep2_peaks.narrowPeak	54	edf2_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833033_edf2_eth_rep1_peaks.narrowPeak	55	edf2_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833034_edf2_eth_rep2_peaks.narrowPeak	56	edf2_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833035_edf2_eth_rep3_peaks.narrowPeak	57	edf2_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833036_ja_myc3_air_rep1_peaks.narrowPeak	58	ja_myc3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833037_ja_myc3_air_rep2_peaks.narrowPeak	59	ja_myc3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833038_ja_myc3_air_rep3_peaks.narrowPeak	60	ja_myc3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833039_ja_myc3_ja_rep1_peaks.narrowPeak	61	ja_myc3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833040_ja_myc3_ja_rep2_peaks.narrowPeak	62	ja_myc3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833041_ja_myc3_ja_rep3_peaks.narrowPeak	63	ja_myc3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833042_ja_myc2_air_rep1_peaks.narrowPeak	64	ja_myc2_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833043_ja_myc2_air_rep2_peaks.narrowPeak	65	ja_myc2_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833044_ja_myc2_air_rep3_peaks.narrowPeak	66	ja_myc2_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833045_ja_myc2_ja_rep1_peaks.narrowPeak	67	ja_myc2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833046_ja_myc2_ja_rep2_peaks.narrowPeak	68	ja_myc2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833047_ja_myc2_ja_rep3_peaks.narrowPeak	69	ja_myc2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833048_ja_tcp3_air_rep1_peaks.narrowPeak	70	ja_tcp3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833049_ja_tcp3_air_rep2_peaks.narrowPeak	71	ja_tcp3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833050_ja_tcp3_ja_rep1_peaks.narrowPeak	72	ja_tcp3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833051_ja_tcp3_ja_rep2_peaks.narrowPeak	73	ja_tcp3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833052_ja_obp2_air_rep1_peaks.narrowPeak	74	ja_obp2_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833053_ja_obp2_ja_rep1_peaks.narrowPeak	75	ja_obp2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833054_ja_obp2_ja_rep2_peaks.narrowPeak	76	ja_obp2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833055_ja_rap2.6l_air_rep1_peaks.narrowPeak	77	ja_rap2.6l_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833056_ja_rap2.6l_ja_rep1_peaks.narrowPeak	78	ja_rap2.6l_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833057_ja_stz_air_rep1_peaks.narrowPeak	79	ja_stz_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833058_ja_stz_ja_rep1_peaks.narrowPeak	80	ja_stz_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833059_ja_stz_ja_rep2_peaks.narrowPeak	81	ja_stz_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833060_ja_anac055_air_rep1_peaks.narrowPeak	82	ja_anac055_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833061_ja_anac055_air_rep2_peaks.narrowPeak	83	ja_anac055_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833062_ja_anac055_ja_rep1_peaks.narrowPeak	84	ja_anac055_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833063_ja_anac055_ja_rep2_peaks.narrowPeak	85	ja_anac055_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833064_ja_anac055_ja_rep3_peaks.narrowPeak	86	ja_anac055_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833065_ja_erf1_ja_rep1_peaks.narrowPeak	87	ja_erf1_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833066_ja_erf1_ja_rep2_peaks.narrowPeak	88	ja_erf1_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833067_ja_erf1_ja_rep3_peaks.narrowPeak	89	ja_erf1_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833068_ein3_ja_rep1_peaks.narrowPeak	90	ein3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833069_ein3_ja_rep2_peaks.narrowPeak	91	ein3_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833070_edf2_ja_rep1_peaks.narrowPeak	92	edf2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833071_edf2_ja_rep2_peaks.narrowPeak	93	edf2_ja
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833072_bes1_br_rep1_peaks.narrowPeak	94	bes1_br
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833073_tcp3_br_rep1_peaks.narrowPeak	95	tcp3_br
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6833074_tga5_sa_rep1_peaks.narrowPeak	96	tga5_sa
