00104 00004 00000 00000 00000 00000 00000 00000 00000 00744 00771 00000 00000 00000 00021 00000 00003 00000 00070 00330 00014 00320 00000 00000 00250 00000 00143 00000 00106 00000 00000 00001 00000 00000 00001 00021 00000 00000 00004 00000 00000 00144 00001 00000 00000 00531 00307 00002 00376 00241 00451 00244 00001 00000 00067 00178 00139 00009 00000 00000 00000 00000 00045 00000 00218 00000 00255 00000 00003 00000 00000 00000 00000 00000 00331 00008 00134 00034 00219 00000 00000 00000 00509 00471 00234 00263 00230 
00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01948 00000 00000 00000 00001 00006 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 
00000 00000 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00004 00000 00016 00000 00009 00056 00008 00000 00000 00000 00000 00000 00004 00000 00000 00000 00001 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00012 00000 00000 00042 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00002 00000 01095 00121 00000 00054 00000 00000 00000 00001 00000 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00001 
00000 00000 00000 00000 00000 00000 00000 00001 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00107 00000 00000 00000 00000 00001 00000 00000 00000 00000 00022 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00002 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 00005 00000 00000 00000 00000 00000 00003 00000 13978 13653 05459 00026 00000 
00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00215 00072 00106 00000 00000 00074 00062 00213 00016 00249 00100 00000 00200 00216 00330 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00349 00565 00045 00114 00015 00000 00083 00325 00073 00174 00280 00295 00323 00167 00000 00000 00000 00000 00015 00086 00000 00231 00000 00000 00000 00000 00076 00199 00368 00277 00000 00000 00049 00011 00066 00140 00000 00000 00013 00000 00000 
00000 00000 00000 00000 00000 00029 00011 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01155 01140 01711 01667 00000 00001 00000 00000 00000 00001 00000 00000 00002 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00013 00000 00000 00000 00009 00000 00001 00000 00002 00000 00000 00000 00000 00000 00000 00000 00009 00000 00000 
00000 00006 00000 00000 00001 00000 00000 00000 00000 00005 00000 00000 00000 00000 00000 00000 00005 00000 00003 01917 00264 07263 00000 00000 08292 00000 00130 00000 00019 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00000 00003 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00025 00001 00000 00036 00004 00000 00000 00000 00001 00000 00000 00000 00110 00009 00000 00000 00073 00000 00000 00000 00000 00002 00000 00007 00000 00000 00000 00000 00000 00000 00000 
00226 00031 00000 00000 00000 00000 00000 00101 00000 00425 00001 00000 00000 00000 00000 00000 00012 00000 00040 00363 00000 00150 00000 00000 00015 00000 00089 00000 00170 00000 00000 00000 00000 00005 00000 00329 00154 00000 00000 00015 00000 00365 00000 00000 00000 00090 00191 00000 00000 00000 00000 00000 00000 00000 00000 00047 00060 00009 00000 00000 00142 00010 00271 00123 00036 00000 00000 00000 00000 00000 00000 00000 00000 00000 00028 00000 00292 00016 00099 00000 00001 00000 00966 00909 00418 00584 00341 
00000 00000 00000 00000 00000 00000 00001 00000 00000 03987 00001 00000 00000 00000 00009 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00001 00008 00000 00000 00000 00000 00000 00000 00000 00000 00001 00001 00003 00001 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00005 00000 00000 00000 00000 00000 00000 00000 00000 
00325 00000 00001 00078 00034 00000 00000 00058 00000 00168 00000 00000 00000 00000 00004 00000 00030 00000 00000 00000 00000 00112 00000 00000 00000 00000 00000 00000 00289 00001 00011 00001 00001 00003 00000 00000 00000 00000 00000 00000 00000 00109 00000 00020 00001 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00014 00000 00000 00000 00000 00440 00272 00570 00459 00000 00000 00001 00000 00316 00229 00010 00000 00260 00000 00000 00000 00187 00090 00000 00000 00000 00000 00000 00000 00000 00206 00008 
